School Code,School Name,Latitude,Longitude,Centre Type,Independent Public School,Actual Floor Number,Actual Building Name,Actual Street Number,Actual Street Name,Actual Suburb/Town,Actual Postcode,OIC Title,Postal Address 1,Postal Address 2,Postal Address 3,Postal Address Post Code,Band,Phone Number,Restrict Contact to Outside Teaching Hours,Fax Number,Internet Site,Official Low Year Level,Official High Year Level,DoE Geographic Region,Federal Electorate,State Electorate,Local Government Area,Host Centre Name,Host Centre Code,Host Centre Type,
1883,Fitzgerald State School,-21.11517,149.168154,State School,N,,,,Norris Road,North Mackay,4740,Principal,Norris Road,North Mackay,,4740,9,(07) 4965 6333,N,(07) 4965 6300,www.fitzgerass.eq.edu.au,Prep Year,Year 6,Central Queensland,Dawson,Mackay,Mackay (R),1883,Fitzgerald State School,State School,
1884,Deception Bay North State School,-27.181171,153.01659,State School,N,,,,Old Bay Road,Deception Bay,4508,Principal,PO Box 348,Deception Bay,,4508,9,(07) 3897 2333,N,(07) 3897 2300,www.decebaynss.eq.edu.au,Early Childhood,Year 6,North Coast,Petrie,Bancroft,Moreton Bay (R),1884,Deception Bay North State School,State School,
1885,Warrigal Road State School,-27.587017,153.085392,State School,N,,,314,Warrigal Road,Eight Mile Plains,4113,Principal,314 Warrigal Road,Eight Mile Plains,,4113,11,(07) 3340 5333,N,(07) 3340 5300,www.warrroadss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Toohey,Brisbane (C),1885,Warrigal Road State School,State School,
1886,Rochedale South State School,-27.5906,153.129898,State School,Y,,,,Wendron Street,Rochedale South,4123,Principal,Wendron Street,Rochedale South,,4123,8,(07) 3340 0777,N,(07) 3340 0700,www.rochsoutss.eq.edu.au,Prep Year,Year 6,South East,Rankin,Springwood,Logan (C),1886,Rochedale South State School,State School,
1887,Hilder Road State School,-27.436814,152.937219,State School,Y,,,,Kaloma Road,The Gap,4061,Principal,Kaloma Road,The Gap,,4061,8,(07) 3511 3222,N,(07) 3511 3200,www.hildroadss.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Cooper,Brisbane (C),1887,Hilder Road State School,State School,
1888,Buddina State School,-26.702191,153.133162,State School,Y,,,,Cnr Tumut Street & Iluka Avenue,Buddina,4575,Principal,PO Box 50,Buddina,,4575,9,(07) 5477 8888,N,(07) 5477 8800,www.buddinass.eq.edu.au,Prep Year,Year 6,North Coast,Fisher,Kawana,Sunshine Coast (R),1888,Buddina State School,State School,
1889,Sunnybank Hills State School,-27.5952,153.05624,State School,Y,,,77,Symons Road,Sunnybank Hills,4109,Principal,77 Symons Road,Sunnybank Hills,,4109,11,(07) 3323 8333,N,(07) 3323 8300,www.sunnhillss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Stretton,Brisbane (C),1889,Sunnybank Hills State School,State School,
1890,Miami State School,-28.059638,153.426091,State School,N,,,18-36,Oceanic Drive,Mermaid Waters,4218,Principal,18-36 Oceanic Drive,Mermaid Waters,,4218,10,(07) 5595 4888,N,(07) 5595 4800,www.miamiss.eq.edu.au,Early Childhood,Year 6,South East,Moncrieff,Mermaid Beach,Gold Coast (C),1890,Miami State School,State School,
1891,Blackwater North State School,-23.566293,148.886472,State School,N,,,,William Street,Blackwater,4717,Principal,PO Box 327,Blackwater,,4717,8,(07) 4980 5333,N,(07) 4980 5300,www.blacnortss.eq.edu.au,Early Childhood,Year 6,Central Queensland,Flynn,Gregory,Central Highlands (R),1891,Blackwater North State School,State School,
1892,Albany Hills State School,-27.36034,152.97278,State School,Y,,,,Keong Road,Albany Creek,4035,Principal,PO Box 378,Albany Creek,,4035,9,(07) 3264 0777,N,(07) 3264 0700,www.albahillss.eq.edu.au,Prep Year,Year 6,Metropolitan,Dickson,Everton,Moreton Bay (R),1892,Albany Hills State School,State School,
1893,Tropical North Learning Academy - Trinity Beach State School,-16.794898,145.68952,State School,Y,,,,Wewak Street,Trinity Beach,4879,Principal,PO Box 142,Trinity Beach,,4879,10,(07) 4057 1444,N,,www.trinitybeachss.eq.edu.au,Prep Year,Year 6,Far North Queensland,Leichhardt,Barron River,Cairns (R),1893,Tropical North Learning Academy - Trinity Beach State School,State School,
1897,Forrest Beach State School,-18.711429,146.29434,State School,N,,,40,Pandanus Street,Forrest Beach,4850,Principal,40 Pandanus Street,Allingham,,4850,5,(07) 4798 1333,N,(07) 4798 1300,www.forrbeacss.eq.edu.au,Prep Year,Year 6,North Queensland,Kennedy,Hinchinbrook,Hinchinbrook (S),1897,Forrest Beach State School,State School,
1898,Coppabella State School,-21.906791,148.363321,State School,N,,,,Mathieson Street,Coppabella,4741,Principal,Mathieson Street,Coppabella,via Mackay,4741,5,(07) 4958 0144,N,(07) 4958 0166,www.coppabelss.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Burdekin,Isaac (R),1898,Coppabella State School,State School,
1899,Robertson State School,-27.565483,153.056254,State School,Y,,,688,Musgrave Road,Robertson,4109,Principal,688 Musgrave Road,Robertson,,4109,9,(07) 3452 4111,N,(07) 3452 4100,www.robertsonss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Toohey,Brisbane (C),1899,Robertson State School,State School,
1900,Darling Heights State School,-27.597434,151.932316,State School,N,,,,Wuth Street,Darling Heights,4350,Principal,Wuth Street,Toowoomba,,4350,9,(07) 4636 8333,N,(07) 4636 8300,www.darlheigss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba South,Toowoomba (R),1900,Darling Heights State School,State School,
1901,Avoca State School,-24.883639,152.313454,State School,N,,,,Twyford Street,Avoca,4670,Principal,PO Box 5636,Bundaberg West,,4670,8,(07) 4150 0444,N,(07) 4150 0400,www.avocass.eq.edu.au,Prep Year,Year 6,North Coast,Hinkler,Bundaberg,Bundaberg (R),1901,Avoca State School,State School,
1902,Woree State School,-16.95977,145.741352,State School,N,,,,Cnr Rigg & Windarra Streets,Woree,4868,Principal,Cnr Rigg & Windarra Streets,Woree,,4868,10,(07) 4054 9111,N,(07) 4054 9100,www.woreess.eq.edu.au,Prep Year,Year 6,Far North Queensland,Leichhardt,Mulgrave,Cairns (R),1902,Woree State School,State School,
1903,Caboolture East State School,-27.077547,152.960977,State School,N,,,44,Manley Street,Caboolture,4510,Principal,PO Box 1492,Caboolture,,4510,9,(07) 5431 6111,N,(07) 5431 6100,cabooltureeastss.eq.edu.au,Early Childhood,Year 6,North Coast,Longman,Morayfield,Moreton Bay (R),1903,Caboolture East State School,State School,
1904,Emerald North State School,-23.513273,148.164182,State School,N,,,,Campbell Street,Emerald,4720,Principal,PO Box 706,Emerald,,4720,8,(07) 4988 2333,N,(07) 4982 2999,www.emernortss.eq.edu.au,Early Childhood,Year 6,Central Queensland,Flynn,Gregory,Central Highlands (R),1904,Emerald North State School,State School,
1905,Middlemount Community School,-22.810863,148.700813,State School,N,,,,James Randell Drive,Middlemount,4746,Principal,James Randell Drive,Middlemount,,4746,9,(07) 4981 2333,N,(07) 4981 2300,www.middlemountcs.eq.edu.au,Prep Year,Year 12,Central Queensland,Capricornia,Burdekin,Isaac (R),1905,Middlemount Community School,State School,
1906,Mount Warren Park State School,-27.726036,153.205393,State School,N,,,125,Mount Warren Boulevard,Mount Warren Park,4207,Principal,125 Mount Warren Boulevard,Mount Warren Park,,4207,10,(07) 3382 9333,N,(07) 3382 9300,www.mtwarrenss.eq.edu.au,Early Childhood,Year 6,South East,Forde,Macalister,Logan (C),1906,Mount Warren Park State School,State School,
1907,Cranbrook State School,-19.3092,146.753855,State School,N,,,,Alice Street,Cranbrook,4814,Principal,Alice Street,Cranbrook,,4814,9,(07) 4726 1222,N,(07) 4726 1200,www.cranbrooss.eq.edu.au,Prep Year,Year 6,North Queensland,Herbert,Mundingburra,Townsville (C),1907,Cranbrook State School,State School,
1908,Moranbah East State School,-22.005128,148.063356,State School,N,,,4,Williams Street,Moranbah,4744,Principal,4 Williams Street,Moranbah,,4744,9,(07) 4941 3333,N,(07) 4941 3300,www.moranbaess.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Burdekin,Isaac (R),1908,Moranbah East State School,State School,
1909,Coombabah State School,-27.894224,153.388518,State School,N,,,164-172,Oxley Drive,Coombabah,4216,Principal,164-172 Oxley Drive,Coombabah,,4216,9,(07) 5501 3888,N,(07) 5501 3800,www.coombabahss.eq.edu.au,Prep Year,Year 6,South East,Fadden,Broadwater,Gold Coast (C),1909,Coombabah State School,State School,
1910,Strathpine West State School,-27.306039,152.969929,State School,N,,,,Garbala Drive,Strathpine,4500,Principal,Garbala Drive,Strathpine,,4500,9,(07) 3480 6111,N,(07) 3480 6100,www.strathpinewestss.eq.edu.au,Prep Year,Year 6,North Coast,Dickson,Pine Rivers,Moreton Bay (R),1910,Strathpine West State School,State School,
1912,Kin Kora State School,-23.878189,151.253535,State School,N,,,43,Hibiscus Avenue,Kin Kora,4680,Principal,43 Hibiscus Avenue,Gladstone,,4680,10,(07) 4971 5111,N,(07) 4971 5100,www.kinkorass.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Gladstone,Gladstone (R),1912,Kin Kora State School,State School,
1914,Mount Archer State School,-23.358187,150.545611,State School,N,,,242,Thozet Road,Koongal,4701,Principal,PO Box 9982,Frenchville,,4701,9,(07) 4923 5222,N,(07) 4923 5200,www.mtarcherss.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Keppel,Rockhampton (R),1914,Mount Archer State School,State School,
1915,Birkdale South State School,-27.505887,153.212623,State School,N,,,451,Old Cleveland Road East,Birkdale,4159,Principal,451 Old Cleveland Road East,Birkdale,,4159,9,(07) 3820 4333,N,(07) 3820 4300,www.birkdalesouthss.eq.edu.au,Prep Year,Year 6,South East,Bowman,Capalaba,Redland (C),1915,Birkdale South State School,State School,
1916,Shailer Park State School,-27.660299,153.187135,State School,Y,,,,Bulwarna Street,Shailer Park,4128,Principal,PO Box 3351,Logan Hyperdome,,4129,8,(07) 3440 8333,N,(07) 3209 8431,www.shaiparkss.eq.edu.au,Prep Year,Year 6,South East,Forde,Springwood,Logan (C),1916,Shailer Park State School,State School,
1917,Sunshine Beach State School,-26.402724,153.102324,State School,N,,,,David Low Way,Sunshine Beach,4567,Principal,David Low Way,Sunshine Beach,,4567,10,(07) 5474 6333,N,(07) 5474 6300,www.sunshinebeachss.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Noosa,Noosa (S),1917,Sunshine Beach State School,State School,
1918,Glenden State School,-21.353964,148.115806,State School,N,,,,Gillham Terrace,Glenden,4743,Principal,PO Box 51,Glenden,,4743,7,(07) 4964 2333,N,(07) 4964 2300,www.glendenss.eq.edu.au,Prep Year,Year 12,Central Queensland,Capricornia,Burdekin,Isaac (R),1918,Glenden State School,State School,
1919,Mistake Creek State School,-22.988983,147.083309,State School,N,,,6652,Alpha Road,Mistake Creek,4721,Principal,Mail Service 627,Clermont,,4721,5,(07) 4983 5335,N,(07) 4983 5405,www.mistakecreekss.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Burdekin,Isaac (R),1919,Mistake Creek State School,State School,
1920,Golden Beach State School,-26.814446,153.116844,State School,Y,,,,Gregory Street,Golden Beach,4551,Principal,PO Box 459,Caloundra,,4551,9,(07) 5437 4333,N,(07) 5437 4300,www.goldbeacss.eq.edu.au,Prep Year,Year 6,North Coast,Fisher,Caloundra,Sunshine Coast (R),1920,Golden Beach State School,State School,
1921,Tannum Sands State School,-23.950985,151.364842,State School,N,,,,Waratah Crescent,Tannum Sands,4680,Principal,PO Box 3056,Tannum Sands,,4680,9,(07) 4979 9111,N,(07) 4979 9100,www.tannsandss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Gladstone,Gladstone (R),1921,Tannum Sands State School,State School,
1922,Browns Plains State School,-27.667726,153.05457,State School,N,,,1-29,Mayfair Drive,Browns Plains,4118,Principal,PO Box 216,Browns Plains,,4118,9,(07) 3809 6222,N,(07) 3800 3042,www.brownsplainsss.eq.edu.au,Early Childhood,Year 6,South East,Rankin,Woodridge,Logan (C),1922,Browns Plains State School,State School,
1923,Elanora State School,-28.130766,153.467043,State School,Y,,,,K P McGrath Drive,Elanora,4221,Principal,K P McGrath Drive,Elanora,,4221,11,(07) 5559 9222,N,(07) 5559 9200,www.elanorass.eq.edu.au,Prep Year,Year 6,South East,Mcpherson,Currumbin,Gold Coast (C),1923,Elanora State School,State School,
1924,Chatswood Hills State School,-27.628184,153.137454,State School,N,,,,Raleigh Street,Springwood,4127,Principal,PO Box 330,Springwood,,4127,9,(07) 3489 2222,N,(07) 3489 2200,www.chathillss.eq.edu.au,Prep Year,Year 6,South East,Rankin,Springwood,Logan (C),1924,Chatswood Hills State School,State School,
1925,Bellevue Park State School,-27.995615,153.396254,State School,Y,,,,Sapium Road,Ashmore,4214,Principal,Sapium Road,Southport,,4215,9,(07) 5504 8222,N,(07) 5597 3939,www.bellparkss.eq.edu.au,Prep Year,Year 6,South East,Moncrieff,Southport,Gold Coast (C),1925,Bellevue Park State School,State School,
1926,Tieri State School,-23.030434,148.34412,State School,N,,,,Bottlebrush Lane,Tieri,4709,Principal,PO Box 49,Tieri,,4709,7,(07) 4981 7555,N,(07) 4981 7500,www.tieriss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Gregory,Central Highlands (R),1926,Tieri State School,State School,
1927,Coolnwynpin State School,-27.546277,153.204246,State School,N,,,6,Telaska Court,Capalaba,4157,Principal,6 Telaska Court,Capalaba,,4157,8,(07) 3906 4333,N,(07) 3906 4300,www.coolnwynss.eq.edu.au,Prep Year,Year 6,South East,Bowman,Capalaba,Redland (C),1927,Coolnwynpin State School,State School,
1928,Crestmead State School,-27.688755,153.090452,State School,Y,,,27-61,Augusta Street,Crestmead,4132,Principal,PO Box 1538,Browns Plains,,4118,11,(07) 3826 0222,N,,www.crestmeadss.eq.edu.au,Prep Year,Year 6,South East,Rankin,Woodridge,Logan (C),1928,Crestmead State School,State School,
1929,Helensvale State School,-27.915934,153.327968,State School,N,,,8,Lindfield Road,Helensvale,4212,Principal,8 Lindfield Road,Helensvale,,4212,10,(07) 5556 1333,N,(07) 5556 1300,www.helensvaless.eq.edu.au,Prep Year,Year 6,South East,Fadden,Theodore,Gold Coast (C),1929,Helensvale State School,State School,
1930,Withcott State School,-27.559457,152.023728,State School,N,,,26,Biggs Road,Withcott,4352,Principal,26 Biggs Road,Withcott,,4352,7,(07) 4614 9333,N,(07) 4614 9300,www.withcottss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),1930,Withcott State School,State School,
1931,Springbrook State School,-28.190298,153.26454,State School,N,,,2327,Springbrook Road,Springbrook,4213,Principal,2327 Springbrook Road,Springbrook,,4213,5,(07) 5548 3333,N,(07) 5548 3300,www.springbrookss.eq.edu.au,Prep Year,Year 6,South East,Wright,Mudgeeraba,Gold Coast (C),1931,Springbrook State School,State School,
1936,Vienna Woods State School,-27.5279,153.230065,State School,N,,,12,Heffernan Road,Alexandra Hills,4161,Principal,12 Heffernan Road,Alexandra Hills,,4161,7,(07) 3820 0777,N,(07) 3824 4143,www.vienwoodss.eq.edu.au,Prep Year,Year 6,South East,Bowman,Capalaba,Redland (C),1936,Vienna Woods State School,State School,
1937,Kimberley Park State School,-27.647368,153.177399,State School,Y,,,,Floret Street,Shailer Park,4128,Principal,Floret Street,Shailer Park,,4128,10,(07) 3451 5333,N,,www.kimberleyparkss.eq.edu.au,Prep Year,Year 6,South East,Forde,Springwood,Logan (C),1937,Kimberley Park State School,State School,
1938,Karalee State School,-27.562695,152.825435,State School,N,,,77,Arthur Summervilles Road,Karalee,4306,Principal,77 Arthur Summervilles Road,Karalee,,4306,8,(07) 3294 5333,N,(07) 3294 5300,www.karaleess.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Ipswich West,Ipswich (C),1938,Karalee State School,State School,
1939,Bucasia State School,-21.030957,149.157804,State School,N,,,76,Kemp Street,Bucasia,4750,Principal,PO Box 59,Rural View,,4740,8,(07) 4969 7888,N,(07) 4969 7800,www.bucasiass.eq.edu.au,Prep Year,Year 6,Central Queensland,Dawson,Whitsunday,Mackay (R),1939,Bucasia State School,State School,
1940,Tagai State College - Badu Island Campus,-10.159259,142.163255,Campus,Y,,,,,Badu Island,4875,Head of Campus,Badu Island,via Thursday Island,,4875,7,(07) 4214 8444,N,(07) 4069 4233,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1941,Tagai State College - Malu Kiwai Campus,-9.23101,142.219377,Campus,Y,,,,School Road,Boigu Island,4875,Head of Campus,School Road,Boigu Island,,4875,6,(07) 4090 1333,N,(07) 4090 1300,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1942,Tagai State College - Mabuiag Island Campus,-9.954659,142.189512,Campus,Y,,,,,Mabuiag Island,4875,Head of Campus,Mabuiag Island,via Thursday Island,,4875,6,(07) 4069 4198,N,(07) 4069 4263,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1943,Tagai State College - Mer Campus,-9.917345,144.045509,Campus,Y,,,,Murray Island Community,Mer Island,4875,Head of Campus,Murray Island Community,Murray Island,,4875,6,(07) 4214 8333,N,(07) 4069 4320,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1944,Tagai State College - Darnley Island Campus,-9.5952,143.760152,Campus,Y,,,,Darnley Island aka,Erub Island,4875,Head of Campus,Darnley Island,via Thursday Island,,4875,6,(07) 4069 4007,N,(07) 4069 4237,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1945,Tagai State College - Yorke Island Campus,-9.750525,143.416672,Campus,Y,,,,Yorke Island aka,Masig Island,4875,Head of Campus,Yorke Island,via Thursday Island,,4875,6,(07) 4214 8555,N,(07) 4069 4075,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1946,Tagai State College - Saibai Island Campus,-9.379417,142.623994,Campus,Y,,,,,Saibai Island,4875,Head of Campus,Saibai Island,via Thursday Island,,4875,6,(07) 4214 8222,N,(07) 4069 4047,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1947,Tagai State College - Yam Island Campus,-9.899529,142.769695,Campus,Y,,,,Yam Island aka,Iama Island,4875,Head of Campus,Yam Island,via Thursday Island,,4875,6,(07) 4069 4215,N,(07) 4069 4310,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1948,Tagai State College - Warraber Island Campus,-10.206343,142.827916,Campus,Y,,,,,Warraber Islet,4875,Head of Campus,Warraber Island,via Thursday Island,,4875,5,(07) 4069 4102,N,(07) 4069 4292,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1949,Tagai State College - Kubin Campus,-10.23332,142.218622,Campus,Y,,,,Kubin Village,Moa Island,4875,Head of Campus,Kubin Village,via Moa Island,,4875,5,(07) 4069 4140,N,(07) 4069 4319,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1950,Tagai State College - Dauan Island Campus,-9.413621,142.539635,Campus,Y,,,,,Dauan Island,4875,Head of Campus,Dauan Island,via Thursday Island,,4875,5,(07) 4069 4107,N,(07) 4069 4318,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
1951,Tagai State College - Poruma Campus,-10.0503,143.064194,Campus,Y,,,,Olandi Street,Poruma Island,4875,Head of Campus,Poruma Island,via Thursday Island,,4875,5,(07) 4069 4209,N,(07) 4069 4316,www.tagaisc.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Torres Strait Island (R),5726,Tagai State College,State School,
